setting,source,target,method,threshold_type,threshold_value,f1,recall,fpr,notes
cross_domain,iot,unsw,lstm,default,0.5,0.1394,0.1079,0.0264,
cross_domain,unsw,cic,lr,default,0.5,0.7313,0.8031,0.264,
cross_domain,unsw,cic,lr,val_tuned,0.799,0.7403,0.7819,0.2218,UNSW val_tuned applied to CIC
cross_domain,unsw,cic,rf,default,0.5,0.001,0.0008,0.3056,
cross_domain,unsw,cic,xgb,default,0.5,0.2038,0.1925,0.4674,
cross_domain,unsw,cic,cnn1d,default,0.5,0.0042,0.0033,0.3743,
cross_domain,unsw,cic,lstm,default,0.5,0.6307,0.8022,0.4979,
cross_domain,unsw,cic,lstm,val_tuned,0.9,0.7197,0.7997,0.2837,UNSW val_tuned applied to CIC
cross_domain,cic,iot,lr,val_tuned,1.0,0.00163,0.000817,0.001813,CIC val_tuned applied to IoT
cross_domain,cic,iot,rf,val_tuned,0.036377,0.001061,0.000544,0.033714,CIC val_tuned applied to IoT
cross_domain,cic,iot,xgb,val_tuned,4.8e-05,0.11313,0.060152,0.00435,CIC val_tuned applied to IoT
cross_domain,cic,iot,cnn1d,val_tuned,0.315869,0.000799,0.000408,0.029183,CIC val_tuned applied to IoT
cross_domain,cic,iot,lstm,val_tuned,0.61916,0.0,0.0,0.000181,CIC val_tuned applied to IoT
cross_domain,cic,unsw,lr,val_tuned,1.0,0.0068123758160658,0.0034702139965297,0.0009196678784303,CIC val_tuned applied to UNSW
cross_domain,cic,unsw,rf,val_tuned,0.0363772183033211,0.0708971553610503,0.0585598611914401,0.0356067638969624,CIC val_tuned applied to UNSW
cross_domain,cic,unsw,xgb,val_tuned,4.770375380758196e-05,0.0548918796310297,0.052486986697513,0.0515968384247651,CIC val_tuned applied to UNSW
cross_domain,cic,unsw,xgb,fixed_fpr,3.700014713103883e-05,0.057084007650434,0.0561017929438982,0.0545727448615726,CIC fixed_fpr applied to UNSW
cross_domain,cic,unsw,cnn1d,val_tuned,0.3158689439296722,0.0002891426919184,0.0001445922498554,0.0,CIC val_tuned applied to UNSW
cross_domain,cic,unsw,cnn1d,fixed_fpr,0.1224086210131645,0.0040392383150605,0.0020242914979757,1.735222412132675e-05,CIC fixed_fpr applied to UNSW
cross_domain,cic,unsw,lstm,val_tuned,0.6191602349281311,0.0,0.0,8.676112060663376e-06,CIC val_tuned applied to UNSW
cross_domain,cic,unsw,lstm,fixed_fpr,0.0023254889529198,0.0582125603864734,0.0348467322151532,0.0097432738441249,CIC fixed_fpr applied to UNSW
cross_domain,iot,unsw,lr,val_tuned,0.0142160438028694,0.0396527969137503,0.2080682475419317,0.5572232970961053,IOT val_tuned applied to UNSW
cross_domain,iot,unsw,lr,fixed_fpr,0.9999999996952262,0.0219604465905945,0.0516194331983805,0.2189850684111436,IOT fixed_fpr applied to UNSW
cross_domain,iot,unsw,rf,val_tuned,0.95,0.0010454783063251,0.0005783689994216,0.0063509140284055,IOT val_tuned applied to UNSW
cross_domain,iot,unsw,rf,fixed_fpr,1.0,0.0,0.0,0.0,IOT fixed_fpr applied to UNSW
cross_domain,iot,unsw,xgb,val_tuned,0.990845263004303,0.0340129662689091,0.1046847888953152,0.303073946503093,IOT val_tuned applied to UNSW
cross_domain,iot,unsw,xgb,fixed_fpr,0.9999665021896362,0.0,0.0,0.0,IOT fixed_fpr applied to UNSW
cross_domain,iot,unsw,cnn1d,val_tuned,0.9898059964179992,0.044517315049436,0.0647773279352226,0.1107332182302466,IOT val_tuned applied to UNSW
cross_domain,iot,unsw,cnn1d,fixed_fpr,1.0,0.0,0.0,0.0,IOT fixed_fpr applied to UNSW
cross_domain,iot,unsw,lstm,val_tuned,0.9152078032493592,0.1176693869804516,0.0896471949103528,0.0260456884061114,IOT val_tuned applied to UNSW
cross_domain,iot,unsw,lstm,fixed_fpr,0.9372491836547852,0.0002891008962127,0.0001445922498554,8.676112060663376e-06,IOT fixed_fpr applied to UNSW
cross_domain,unsw,cic,lr,fixed_fpr,1.0,0.0,0.0,0.0559343301244232,UNSW fixed_fpr applied to CIC
cross_domain,unsw,cic,rf,val_tuned,0.4917606094792408,0.0017408785219112,0.0012767380356473,0.3124317780717295,UNSW val_tuned applied to CIC
cross_domain,unsw,cic,rf,fixed_fpr,1.0,0.0,0.0,0.0,UNSW fixed_fpr applied to CIC
cross_domain,unsw,cic,xgb,val_tuned,0.8293607831001282,0.1635237810349985,0.1384804790807486,0.3726541007967301,UNSW val_tuned applied to CIC
cross_domain,unsw,cic,xgb,fixed_fpr,0.999995231628418,0.0,0.0,0.0,UNSW fixed_fpr applied to CIC
cross_domain,unsw,cic,cnn1d,val_tuned,0.8013953566551208,0.0020981348304851,0.0014692620251497,0.2678482166235373,UNSW val_tuned applied to CIC
cross_domain,unsw,cic,cnn1d,fixed_fpr,1.0,0.0,0.0,3.400469944946392e-05,UNSW fixed_fpr applied to CIC
cross_domain,unsw,cic,lstm,fixed_fpr,0.9999048709869384,0.0,0.0,0.0,UNSW fixed_fpr applied to CIC
cross_domain,cic,unsw,xgb,default,0.5,0.0003,0.0001,0.0001,
cross_domain,cic,unsw,cnn1d,default,0.5,0.0,0.0,0.0,
cross_domain,cic,unsw,lstm,default,0.5,0.0,0.0,0.0,
cross_domain,unsw,iot,lr,default,0.5,0.8601,0.8608,0.1874,
cross_domain,unsw,iot,lr,val_tuned,0.79921,0.8643,0.8575,0.1689,
cross_domain,unsw,iot,lr,fixed_fpr,1.0,0.0041,0.002,0.0013,degenerate threshold
cross_domain,unsw,iot,rf,default,0.5,0.3479,0.2205,0.0625,
cross_domain,unsw,iot,rf,val_tuned,0.491761,0.3518,0.2236,0.0634,
cross_domain,unsw,iot,rf,fixed_fpr,1.0,0.0,0.0,0.0,degenerate threshold
cross_domain,unsw,iot,xgb,default,0.5,0.8081,0.84,0.3183,
cross_domain,unsw,iot,xgb,val_tuned,0.829361,0.8153,0.7489,0.1176,
cross_domain,unsw,iot,xgb,fixed_fpr,0.999995,0.0,0.0,0.0,degenerate threshold
cross_domain,unsw,iot,cnn1d,default,0.5,0.7891,0.7573,0.2159,
cross_domain,unsw,iot,cnn1d,val_tuned,0.801395,0.5369,0.4179,0.1849,
cross_domain,unsw,iot,cnn1d,fixed_fpr,1.0,0.0003,0.0001,0.0,degenerate threshold
cross_domain,unsw,iot,lstm,default,0.5,0.7074,0.9249,0.9192,
cross_domain,unsw,iot,lstm,val_tuned,0.900235,0.4586,0.4581,0.7185,
cross_domain,unsw,iot,lstm,fixed_fpr,0.999905,0.0,0.0,0.0,degenerate threshold
cross_domain,iot,cic,lr,default,0.5,0.0863,0.0497,0.0683,
cross_domain,iot,cic,lr,val_tuned,0.014216,0.0809,0.0501,0.1269,
cross_domain,iot,cic,lr,fixed_fpr,1.0,0.0019,0.001,0.0131,degenerate threshold
