eval_block,source_dataset,target_dataset,regime,fusion_name,component_methods,threshold_type,threshold_value_or_mode,score_normalization_rule,eligible,f1,precision,recall,fpr,roc_auc,pr_auc,best_single_method_same_tier,best_single_f1_same_tier,best_single_recall_same_tier,best_single_fpr_same_tier,delta_f1_vs_best_single,delta_recall_vs_best_single,delta_fpr_vs_best_single,interpretable_gain_type,notes
in_domain_iot,IoT-23,IoT-23,in_domain,majority_vote,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.0011,0.6667,0.0005,0.0004,,,lstm,0.0019,0.001,0.0009,-0.0008,-0.0005,-0.0005,no_material_gain,
in_domain_unsw,UNSW-NB15,UNSW-NB15,in_domain,OR,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.5804,0.4088,0.9997,0.0867,,,xgb,0.8155,0.9876,0.0261,-0.2351,0.0121,0.0606,mostly_fp_relaxation,
in_domain_unsw,UNSW-NB15,UNSW-NB15,in_domain,AND,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.7707,0.6817,0.8865,0.0248,,,xgb,0.8155,0.9876,0.0261,-0.0448,-0.1011,-0.0013,tradeoff_not_worth_it,
in_domain_unsw,UNSW-NB15,UNSW-NB15,in_domain,majority_vote,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.8066,0.6772,0.9971,0.0285,,,xgb,0.8155,0.9876,0.0261,-0.0089,0.0095,0.0024,no_material_gain,
in_domain_unsw,UNSW-NB15,UNSW-NB15,in_domain,score_average,lr+xgb+lstm,default,0.5,raw_prob_avg_thr0.5,True,0.8082,0.6794,0.9974,0.0282,,,xgb,0.8155,0.9876,0.0261,-0.0073,0.0098,0.0021,no_material_gain,
in_domain_unsw,UNSW-NB15,UNSW-NB15,in_domain,OR,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.7695,0.6256,0.9994,0.0359,,,xgb,0.8219,0.9516,0.0218,-0.0524,0.0478,0.0141,no_material_gain,
in_domain_unsw,UNSW-NB15,UNSW-NB15,in_domain,AND,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.6922,0.7345,0.6544,0.0142,,,xgb,0.8219,0.9516,0.0218,-0.1297,-0.2972,-0.0076,tradeoff_not_worth_it,
in_domain_unsw,UNSW-NB15,UNSW-NB15,in_domain,majority_vote,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.8135,0.694,0.9826,0.026,,,xgb,0.8219,0.9516,0.0218,-0.0084,0.031,0.0042,no_material_gain,
in_domain_unsw,UNSW-NB15,UNSW-NB15,in_domain,OR,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0282,0.0143,0.0,,,,not_applicable,all 3 methods degenerate at fixed_fpr
in_domain_unsw,UNSW-NB15,UNSW-NB15,in_domain,AND,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0282,0.0143,0.0,,,,not_applicable,all 3 methods degenerate at fixed_fpr
in_domain_unsw,UNSW-NB15,UNSW-NB15,in_domain,majority_vote,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0282,0.0143,0.0,,,,not_applicable,all 3 methods degenerate at fixed_fpr
in_domain_unsw,UNSW-NB15,UNSW-NB15,in_domain,score_average_default,lr+xgb+lstm,fixed_fpr,all_degenerate,,False,,,,,,,lr,0.0282,0.0143,0.0,,,,not_applicable,all 3 methods degenerate at fixed_fpr
cic_to_iot,CIC-IDS2017,IoT-23,cross_domain,OR,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.892,0.9847,0.8153,0.0169,,,lr,0.8921,0.8153,0.0167,-0.0001,0.0,0.0002,no_material_gain,
cic_to_iot,CIC-IDS2017,IoT-23,cross_domain,AND,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,lr,0.8921,0.8153,0.0167,-0.8921,-0.8153,-0.0167,tradeoff_not_worth_it,
cic_to_iot,CIC-IDS2017,IoT-23,cross_domain,majority_vote,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0002,,,lr,0.8921,0.8153,0.0167,-0.8921,-0.8153,-0.0165,no_material_gain,
