setting,source,target,method,threshold_type,threshold_value,f1,recall,fpr,classification,evidence_status,interpretation,notes
in_domain,unsw,unsw,lr,fixed_fpr,1.0,0.0282,0.0143,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0143 (near-zero); effectively all-benign prediction,degenerate threshold
in_domain,unsw,unsw,rf,default,0.5,0.8301,0.9835,0.0232,observed_nonzero,observed_row,"F1=0.8301, Recall=0.9835, FPR=0.0232",
in_domain,unsw,unsw,rf,val_tuned,0.492,0.8296,0.9837,0.0233,observed_nonzero,observed_row,"F1=0.8296, Recall=0.9837, FPR=0.0233",
in_domain,unsw,unsw,rf,fixed_fpr,1.0,0.0035,0.0017,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0017 (near-zero); effectively all-benign prediction,degenerate threshold
in_domain,unsw,unsw,xgb,default,0.5,0.8155,0.9876,0.0261,observed_nonzero,observed_row,"F1=0.8155, Recall=0.9876, FPR=0.0261",
in_domain,unsw,unsw,xgb,val_tuned,0.829,0.8219,0.9516,0.0218,observed_nonzero,observed_row,"F1=0.8219, Recall=0.9516, FPR=0.0218",
in_domain,unsw,unsw,xgb,fixed_fpr,1.0,0.0003,0.0001,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0001 (near-zero); effectively all-benign prediction,degenerate threshold
in_domain,unsw,unsw,cnn1d,default,0.5,0.8261,0.9991,0.0252,observed_nonzero,observed_row,"F1=0.8261, Recall=0.9991, FPR=0.0252",
in_domain,unsw,unsw,cnn1d,val_tuned,0.801,0.8344,0.999,0.0237,observed_nonzero,observed_row,"F1=0.8344, Recall=0.9990, FPR=0.0237",
in_domain,unsw,unsw,cnn1d,fixed_fpr,1.0,0.0017,0.0009,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0009 (near-zero); effectively all-benign prediction,degenerate threshold
in_domain,unsw,unsw,lstm,default,0.5,0.8122,0.9973,0.0275,observed_nonzero,observed_row,"F1=0.8122, Recall=0.9973, FPR=0.0275",
in_domain,unsw,unsw,lstm,val_tuned,0.9,0.8191,0.9855,0.0253,observed_nonzero,observed_row,"F1=0.8191, Recall=0.9855, FPR=0.0253",
in_domain,unsw,unsw,lstm,fixed_fpr,1.0,0.0003,0.0001,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0001 (near-zero); effectively all-benign prediction,degenerate threshold
cross_domain,cic,iot,lr,default,0.5,0.8921,0.8153,0.0167,observed_nonzero,observed_row,"F1=0.8921, Recall=0.8153, FPR=0.0167",
cross_domain,cic,iot,lr,fixed_fpr,0.726,0.825,0.7062,0.0076,observed_nonzero,observed_row,"F1=0.8250, Recall=0.7062, FPR=0.0076",CIC fixed_fpr applied to IoT
cross_domain,cic,iot,rf,default,0.5,0.0,0.0,0.0002,observed_true_zero,observed_row,Zero recall at this threshold; model produces no (or negligible) positive predictions,
cross_domain,cic,iot,rf,fixed_fpr,0.005,0.5662,0.4189,0.0808,observed_nonzero,observed_row,"F1=0.5662, Recall=0.4189, FPR=0.0808",CIC fixed_fpr applied to IoT
cross_domain,cic,iot,xgb,default,0.5,0.0,0.0,0.0002,observed_true_zero,observed_row,Zero recall at this threshold; model produces no (or negligible) positive predictions,
cross_domain,cic,iot,xgb,fixed_fpr,3.7e-05,0.1346,0.0725,0.0065,observed_nonzero,observed_row,"F1=0.1346, Recall=0.0725, FPR=0.0065",CIC fixed_fpr applied to IoT
cross_domain,cic,iot,cnn1d,default,0.5,0.0005,0.0003,0.029,observed_true_zero,observed_row,"Near-zero F1=0.0005, Recall=0.0003; effectively zero detection",
cross_domain,cic,iot,cnn1d,fixed_fpr,0.122,0.0594,0.0314,0.0366,observed_nonzero,observed_row,"F1=0.0594, Recall=0.0314, FPR=0.0366",CIC fixed_fpr applied to IoT
cross_domain,cic,iot,lstm,default,0.5,0.0,0.0,0.0002,observed_true_zero,observed_row,Zero recall at this threshold; model produces no (or negligible) positive predictions,
cross_domain,cic,iot,lstm,fixed_fpr,0.002,0.0775,0.0406,0.0082,observed_nonzero,observed_row,"F1=0.0775, Recall=0.0406, FPR=0.0082",CIC fixed_fpr applied to IoT
cross_domain,cic,unsw,lr,default,0.5,0.1429,0.1998,0.0958,observed_nonzero,observed_row,"F1=0.1429, Recall=0.1998, FPR=0.0958",
